Store_ID,SKU_ID,Last_Purchase_Date,Avg_Order_Qty,Last_Order_Qty,Category
S014,SKU_44,2024-04-08,33,21,Snack
S032,SKU_46,2024-01-03,32,27,Bev
S038,SKU_33,2023-08-31,33,28,Grocery
S033,SKU_46,2023-11-25,33,33,Bev
S023,SKU_14,2023-11-21,29,21,Home Care
S015,SKU_8,2023-10-11,32,32,Home Care
S033,SKU_48,2024-04-25,26,24,Dairy
S025,SKU_14,2023-10-01,34,33,Home Care
S047,SKU_18,2023-07-29,32,24,Health
S002,SKU_7,2023-07-30,31,23,Dairy
S039,SKU_13,2023-11-15,30,21,Personal Care
S006,SKU_9,2023-08-20,28,26,Confectionery
S006,SKU_15,2024-04-17,33,33,Grocery
S003,SKU_35,2024-02-19,33,22,Frozen
S007,SKU_24,2023-08-24,29,26,Grocery
S008,SKU_33,2024-04-17,37,19,Grocery
S042,SKU_16,2024-02-25,34,34,Grocery
S029,SKU_23,2023-09-27,29,29,Grocery
S027,SKU_49,2024-03-01,30,30,Home Care
S036,SKU_14,2023-09-25,36,34,Home Care
S029,SKU_30,2024-02-25,30,25,Grocery
S037,SKU_47,2023-08-26,30,30,Bev
S027,SKU_16,2023-10-21,33,33,Grocery
S033,SKU_6,2024-02-08,27,27,Grocery
S004,SKU_33,2023-09-08,31,29,Grocery
S005,SKU_12,2023-12-31,29,29,Bev
S013,SKU_29,2024-02-18,31,29,Personal Care
S031,SKU_30,2023-08-23,22,22,Grocery
S047,SKU_26,2024-03-13,35,21,Home Care
S036,SKU_22,2023-09-28,29,29,Health
S045,SKU_33,2024-02-11,38,31,Grocery
S024,SKU_39,2024-03-03,30,23,Health
S015,SKU_47,2023-11-28,32,18,Bev
S029,SKU_29,2023-10-21,27,27,Personal Care
S005,SKU_45,2023-12-04,32,27,Dairy
S047,SKU_9,2024-06-11,27,22,Confectionery
S012,SKU_15,2024-04-24,31,29,Grocery
S045,SKU_36,2023-12-06,27,27,Home Care
S002,SKU_13,2024-05-25,27,27,Personal Care
S027,SKU_27,2024-02-10,24,20,Personal Care
S031,SKU_44,2023-07-14,23,23,Snack
S036,SKU_7,2023-10-17,25,16,Dairy
S043,SKU_37,2024-01-11,32,22,Personal Care
S027,SKU_41,2023-08-27,29,29,Bev
S011,SKU_36,2023-12-01,29,29,Home Care
S010,SKU_40,2023-09-02,33,33,Snack
S040,SKU_17,2023-12-05,26,24,Home Care
S006,SKU_29,2023-10-29,38,21,Personal Care
S008,SKU_27,2024-04-13,26,26,Personal Care
S047,SKU_34,2024-01-30,31,25,Bev
S026,SKU_4,2023-12-09,33,22,Health
S046,SKU_24,2023-10-13,27,27,Grocery
S012,SKU_33,2023-12-29,31,20,Grocery
S026,SKU_7,2024-06-02,39,23,Dairy
S013,SKU_1,2023-08-06,21,21,Health
S040,SKU_41,2023-09-20,23,23,Bev
S018,SKU_3,2023-07-12,30,21,Confectionery
S025,SKU_44,2023-07-04,25,17,Snack
S033,SKU_15,2023-08-12,27,25,Grocery
S047,SKU_31,2023-08-20,39,20,Grocery
S012,SKU_29,2023-09-25,37,22,Personal Care
S036,SKU_29,2023-08-25,33,24,Personal Care
S048,SKU_17,2024-02-02,26,25,Home Care
S005,SKU_24,2023-09-06,22,20,Grocery
S008,SKU_21,2023-08-13,35,32,Home Care
S042,SKU_50,2023-11-20,25,24,Dairy
S028,SKU_7,2023-08-11,30,27,Dairy
S031,SKU_42,2023-11-16,24,24,Personal Care
S009,SKU_39,2023-09-11,33,33,Health
S029,SKU_5,2024-03-23,27,16,Dairy
S014,SKU_44,2024-01-10,31,23,Snack
S040,SKU_48,2023-12-02,29,25,Dairy
S037,SKU_13,2023-09-10,28,23,Personal Care
S021,SKU_12,2023-11-06,37,37,Bev
S046,SKU_37,2024-01-02,43,22,Personal Care
S036,SKU_6,2023-07-13,35,27,Grocery
S015,SKU_48,2024-02-24,37,19,Dairy
S047,SKU_9,2024-02-13,31,26,Confectionery
S009,SKU_27,2023-07-17,28,27,Personal Care
S010,SKU_21,2023-07-12,30,20,Home Care
S041,SKU_21,2023-12-27,24,21,Home Care
S035,SKU_40,2023-10-30,32,20,Snack
S025,SKU_25,2024-01-20,30,30,Confectionery
S026,SKU_39,2023-09-08,39,26,Health
S011,SKU_15,2023-10-16,32,30,Grocery
S038,SKU_35,2024-01-17,31,31,Frozen
S002,SKU_49,2023-08-21,30,17,Home Care
S018,SKU_41,2023-10-25,40,19,Bev
S027,SKU_37,2024-03-15,30,22,Personal Care
S017,SKU_28,2023-09-02,30,17,Snack
S043,SKU_14,2023-08-11,31,21,Home Care
S025,SKU_34,2024-03-26,28,20,Bev
S007,SKU_12,2024-06-11,23,23,Bev
S006,SKU_33,2024-02-18,32,24,Grocery
S033,SKU_20,2023-07-02,30,18,Bev
S049,SKU_5,2023-10-23,31,31,Dairy
S022,SKU_24,2023-09-03,29,17,Grocery
S026,SKU_43,2023-11-02,28,25,Frozen
S028,SKU_40,2024-03-12,34,21,Snack
S007,SKU_16,2024-03-02,32,17,Grocery
S017,SKU_15,2023-10-24,31,31,Grocery
S020,SKU_46,2024-04-28,36,27,Bev
S020,SKU_29,2023-08-11,33,28,Personal Care
S022,SKU_44,2023-08-04,28,20,Snack
S028,SKU_48,2023-08-10,30,30,Dairy
S049,SKU_29,2023-11-01,35,22,Personal Care
S007,SKU_45,2023-08-26,30,24,Dairy
S013,SKU_21,2023-10-04,30,25,Home Care
S019,SKU_42,2023-11-09,27,27,Personal Care
S032,SKU_44,2023-12-23,32,32,Snack
S030,SKU_16,2023-08-21,32,26,Grocery
S029,SKU_15,2023-08-07,31,31,Grocery
S045,SKU_4,2023-07-05,30,17,Health
S029,SKU_27,2024-01-29,35,30,Personal Care
S030,SKU_23,2023-10-28,35,34,Grocery
S040,SKU_41,2024-01-25,41,28,Bev
S019,SKU_9,2024-02-02,33,33,Confectionery
S018,SKU_43,2023-07-24,25,25,Frozen
S014,SKU_7,2024-01-21,26,26,Dairy
S047,SKU_42,2024-02-11,28,25,Personal Care
S002,SKU_5,2024-01-27,32,32,Dairy
S028,SKU_5,2023-07-26,26,24,Dairy
S050,SKU_41,2023-07-03,19,19,Bev
S030,SKU_28,2023-07-02,35,35,Snack
S038,SKU_16,2023-09-30,27,27,Grocery
S004,SKU_41,2023-07-02,33,29,Bev
S001,SKU_30,2023-11-27,31,20,Grocery
S008,SKU_4,2023-09-09,24,24,Health
S029,SKU_2,2023-07-04,27,21,Home Care
S039,SKU_46,2023-08-07,30,30,Bev
S010,SKU_21,2024-01-17,31,18,Home Care
S033,SKU_5,2023-12-01,27,27,Dairy
S023,SKU_9,2023-11-10,36,16,Confectionery
S028,SKU_20,2023-09-12,29,29,Bev
S032,SKU_28,2024-03-30,31,21,Snack
S008,SKU_3,2023-07-05,29,19,Confectionery
S001,SKU_9,2024-04-18,36,26,Confectionery
S024,SKU_31,2023-09-24,23,21,Grocery
S008,SKU_17,2023-07-15,20,20,Home Care
S037,SKU_34,2023-08-20,33,33,Bev
S033,SKU_41,2023-08-14,19,17,Bev
S028,SKU_5,2024-01-07,30,20,Dairy
S047,SKU_15,2023-10-30,35,23,Grocery
S008,SKU_47,2024-01-03,31,31,Bev
S034,SKU_3,2024-01-30,28,15,Confectionery
S035,SKU_19,2023-11-26,26,15,Personal Care
S032,SKU_28,2023-12-17,33,20,Snack
S024,SKU_3,2024-01-25,38,38,Confectionery
S014,SKU_38,2023-09-20,33,30,Frozen
S032,SKU_4,2024-01-12,31,29,Health
S046,SKU_24,2024-03-02,22,22,Grocery
S004,SKU_45,2023-08-09,28,25,Dairy
S021,SKU_37,2023-08-12,32,24,Personal Care
S031,SKU_9,2024-01-27,29,16,Confectionery
S048,SKU_17,2023-12-26,33,28,Home Care
S018,SKU_1,2023-07-23,28,22,Health
S010,SKU_47,2023-12-07,32,24,Bev
S033,SKU_31,2023-07-17,31,31,Grocery
S023,SKU_26,2023-10-20,29,23,Home Care
S021,SKU_23,2023-10-11,28,19,Grocery
S019,SKU_8,2023-08-04,19,19,Home Care
S036,SKU_44,2023-07-30,33,23,Snack
S029,SKU_25,2024-01-08,37,37,Confectionery
S018,SKU_22,2023-12-26,36,21,Health
S002,SKU_15,2023-10-12,32,18,Grocery
S001,SKU_41,2023-12-12,29,24,Bev
S047,SKU_10,2023-10-30,31,20,Bakery
S005,SKU_20,2023-11-11,38,27,Bev
S042,SKU_23,2024-02-09,27,23,Grocery
S002,SKU_1,2023-07-25,28,25,Health
S003,SKU_2,2023-07-13,30,27,Home Care
S023,SKU_19,2024-05-14,34,22,Personal Care
S020,SKU_8,2023-10-10,27,22,Home Care
S005,SKU_38,2024-01-19,31,31,Frozen
S030,SKU_27,2024-02-07,36,30,Personal Care
S034,SKU_15,2023-10-19,28,28,Grocery
S044,SKU_46,2023-09-07,26,22,Bev
S044,SKU_28,2023-12-15,29,19,Snack
S024,SKU_3,2024-04-18,34,23,Confectionery
S017,SKU_18,2023-08-18,26,26,Health
S010,SKU_34,2024-03-06,34,23,Bev
S046,SKU_29,2023-09-13,37,22,Personal Care
S023,SKU_25,2024-01-17,29,27,Confectionery
S032,SKU_26,2023-08-03,27,27,Home Care
S050,SKU_8,2023-10-19,26,26,Home Care
S017,SKU_19,2024-06-16,30,24,Personal Care
S009,SKU_42,2024-02-22,29,28,Personal Care
S002,SKU_29,2024-01-25,24,24,Personal Care
S045,SKU_33,2023-11-09,32,25,Grocery
S025,SKU_38,2023-10-14,35,21,Frozen
S039,SKU_45,2023-08-02,32,25,Dairy
S009,SKU_46,2023-08-12,44,25,Bev
S022,SKU_35,2023-10-15,31,25,Frozen
S004,SKU_19,2023-12-26,32,24,Personal Care
S026,SKU_10,2024-02-07,29,29,Bakery
S029,SKU_27,2023-11-02,43,26,Personal Care
S045,SKU_15,2024-04-01,28,23,Grocery
S034,SKU_11,2023-12-14,30,21,Home Care
S023,SKU_47,2023-11-28,25,24,Bev
S006,SKU_13,2023-08-04,25,21,Personal Care
S042,SKU_4,2024-02-16,33,16,Health
S034,SKU_34,2023-08-26,27,27,Bev
S017,SKU_37,2024-01-31,27,27,Personal Care
S037,SKU_48,2023-12-03,34,22,Dairy
S025,SKU_7,2023-09-02,26,24,Dairy
S042,SKU_11,2023-10-02,35,26,Home Care
S021,SKU_44,2023-07-26,27,23,Snack
S027,SKU_44,2023-10-29,26,23,Snack
S031,SKU_14,2023-08-19,28,18,Home Care
S027,SKU_34,2023-08-05,26,26,Bev
S040,SKU_25,2024-04-14,33,33,Confectionery
S034,SKU_4,2023-10-08,25,25,Health
S012,SKU_26,2024-05-19,29,29,Home Care
S007,SKU_10,2023-11-13,27,27,Bakery
S010,SKU_45,2024-01-10,22,22,Dairy
S045,SKU_2,2024-02-06,39,30,Home Care
S026,SKU_19,2024-05-21,38,25,Personal Care
S021,SKU_6,2023-08-24,26,24,Grocery
S028,SKU_19,2023-10-18,23,21,Personal Care
S046,SKU_8,2023-11-26,32,31,Home Care
S001,SKU_3,2024-01-03,35,31,Confectionery
S036,SKU_38,2023-11-06,28,28,Frozen
S026,SKU_29,2023-10-16,30,19,Personal Care
S029,SKU_15,2023-09-06,27,22,Grocery
S021,SKU_23,2023-09-04,27,27,Grocery
S011,SKU_23,2023-11-21,29,27,Grocery
S049,SKU_28,2024-01-23,35,34,Snack
S035,SKU_47,2023-09-06,33,33,Bev
S034,SKU_4,2023-08-31,30,30,Health
S047,SKU_2,2024-01-26,29,27,Home Care
S024,SKU_3,2024-06-01,31,31,Confectionery
S005,SKU_16,2023-08-21,37,23,Grocery
S033,SKU_31,2023-10-24,29,20,Grocery
S036,SKU_10,2023-09-03,29,29,Bakery
S047,SKU_19,2023-11-07,27,25,Personal Care
S020,SKU_28,2023-12-24,36,25,Snack
S035,SKU_28,2023-12-10,35,35,Snack
S017,SKU_37,2023-11-29,33,23,Personal Care
S045,SKU_23,2024-06-14,29,29,Grocery
S034,SKU_13,2023-12-05,31,31,Personal Care
S026,SKU_43,2023-10-14,33,26,Frozen
S009,SKU_48,2024-03-11,37,20,Dairy
S040,SKU_17,2023-10-21,33,27,Home Care
S001,SKU_28,2023-07-12,34,21,Snack
S025,SKU_19,2023-12-24,35,34,Personal Care
S042,SKU_22,2023-12-18,29,21,Health
S025,SKU_37,2023-11-07,33,33,Personal Care
S039,SKU_39,2024-03-01,31,31,Health
S037,SKU_42,2023-09-18,21,21,Personal Care
S044,SKU_40,2024-05-05,31,19,Snack
S030,SKU_12,2023-08-21,23,23,Bev
S038,SKU_2,2023-12-08,30,25,Home Care
S034,SKU_28,2023-09-22,32,32,Snack
S019,SKU_22,2023-07-26,32,31,Health
S010,SKU_44,2023-10-03,38,24,Snack
S049,SKU_8,2024-02-10,41,32,Home Care
S047,SKU_20,2024-03-23,35,20,Bev
S012,SKU_12,2023-08-10,38,22,Bev
S016,SKU_35,2023-11-10,28,17,Frozen
S024,SKU_17,2023-09-04,36,23,Home Care
S008,SKU_41,2023-11-30,36,20,Bev
S021,SKU_22,2024-05-20,36,36,Health
S017,SKU_38,2023-08-28,25,25,Frozen
S023,SKU_33,2023-12-31,38,25,Grocery
S037,SKU_22,2023-12-27,36,19,Health
S016,SKU_44,2024-05-17,33,23,Snack
S006,SKU_37,2024-05-19,33,21,Personal Care
S008,SKU_13,2023-07-12,30,30,Personal Care
S025,SKU_27,2023-09-06,36,24,Personal Care
S025,SKU_22,2024-01-18,28,23,Health
S012,SKU_30,2023-07-06,27,27,Grocery
S015,SKU_43,2023-07-15,34,17,Frozen
S026,SKU_40,2023-08-11,29,29,Snack
S041,SKU_37,2023-07-31,35,32,Personal Care
S026,SKU_44,2024-03-18,30,29,Snack
S047,SKU_34,2024-04-14,31,28,Bev
S032,SKU_48,2023-07-21,27,22,Dairy
S016,SKU_42,2023-12-31,33,26,Personal Care
S007,SKU_19,2024-02-29,34,19,Personal Care
S023,SKU_39,2023-11-26,33,18,Health
S026,SKU_33,2024-03-12,32,22,Grocery
S021,SKU_44,2023-10-08,25,25,Snack
S022,SKU_28,2023-08-24,27,21,Snack
S014,SKU_48,2024-05-15,40,25,Dairy
S015,SKU_25,2023-09-24,28,20,Confectionery
S007,SKU_36,2023-12-21,34,24,Home Care
S009,SKU_17,2023-07-22,33,21,Home Care
S008,SKU_21,2023-08-29,41,23,Home Care
S050,SKU_2,2023-10-12,30,18,Home Care
S023,SKU_31,2023-11-16,32,21,Grocery
S029,SKU_44,2024-04-28,47,24,Snack
S030,SKU_12,2023-09-15,29,29,Bev
S039,SKU_44,2023-07-18,30,24,Snack
S035,SKU_12,2023-07-22,39,21,Bev
S039,SKU_24,2023-08-07,29,29,Grocery
S031,SKU_27,2023-11-20,34,20,Personal Care
S024,SKU_8,2023-07-13,35,28,Home Care
S035,SKU_10,2024-01-02,30,23,Bakery
S044,SKU_8,2024-03-23,32,24,Home Care
S045,SKU_20,2024-03-25,33,26,Bev
S034,SKU_8,2023-10-05,29,20,Home Care
S043,SKU_14,2023-07-01,30,23,Home Care
S026,SKU_2,2023-07-27,27,27,Home Care
S023,SKU_43,2023-08-05,28,28,Frozen
S044,SKU_8,2023-12-07,36,20,Home Care
S039,SKU_13,2023-07-31,32,23,Personal Care
S015,SKU_21,2023-11-04,30,20,Home Care
S049,SKU_47,2024-03-18,32,20,Bev
S029,SKU_35,2024-01-26,31,20,Frozen
S022,SKU_23,2023-11-27,29,22,Grocery
S025,SKU_46,2023-07-31,25,23,Bev
S013,SKU_15,2023-10-08,33,33,Grocery
S033,SKU_12,2024-04-27,39,39,Bev
S045,SKU_3,2024-02-04,34,14,Confectionery
S044,SKU_3,2023-12-18,31,25,Confectionery
S002,SKU_47,2024-03-13,28,27,Bev
S035,SKU_19,2023-08-26,28,28,Personal Care
S034,SKU_44,2023-07-05,25,25,Snack
S013,SKU_17,2023-10-22,32,32,Home Care
S013,SKU_14,2024-03-21,29,25,Home Care
S032,SKU_10,2024-01-21,26,18,Bakery
S035,SKU_3,2023-07-24,30,30,Confectionery
S029,SKU_25,2023-08-29,26,24,Confectionery
S029,SKU_48,2024-03-11,29,22,Dairy
S044,SKU_30,2023-09-22,34,20,Grocery
S047,SKU_21,2024-01-18,25,25,Home Care
S010,SKU_30,2023-09-28,30,22,Grocery
S030,SKU_28,2023-09-27,28,21,Snack
S005,SKU_22,2024-01-04,30,28,Health
S030,SKU_1,2023-08-21,32,29,Health
S049,SKU_37,2023-11-17,24,15,Personal Care
S045,SKU_21,2023-09-13,29,29,Home Care
S030,SKU_9,2023-11-07,30,18,Confectionery
S050,SKU_17,2023-08-24,33,33,Home Care
S004,SKU_47,2024-03-27,30,30,Bev
S018,SKU_21,2023-10-08,27,25,Home Care
S037,SKU_31,2023-09-07,28,28,Grocery
S048,SKU_22,2023-07-17,30,30,Health
S046,SKU_6,2023-10-24,29,29,Grocery
S015,SKU_16,2023-11-29,31,24,Grocery
S015,SKU_5,2023-10-24,27,27,Dairy
S049,SKU_9,2023-07-30,29,27,Confectionery
S004,SKU_40,2023-08-20,32,24,Snack
S012,SKU_14,2023-08-29,22,22,Home Care
S037,SKU_44,2024-02-14,34,24,Snack
S039,SKU_45,2023-07-28,27,23,Dairy
S046,SKU_29,2024-03-10,30,17,Personal Care
S007,SKU_35,2024-03-27,31,30,Frozen
S020,SKU_32,2023-08-15,27,27,Dairy
S029,SKU_5,2023-07-28,26,26,Dairy
S045,SKU_16,2023-07-07,25,16,Grocery
S010,SKU_32,2024-01-15,32,32,Dairy
S043,SKU_38,2023-10-02,25,25,Frozen
S034,SKU_32,2023-09-20,32,32,Dairy
S026,SKU_20,2023-09-26,35,35,Bev
S049,SKU_2,2024-02-28,36,36,Home Care
S005,SKU_18,2024-01-03,34,29,Health
S005,SKU_1,2024-02-24,30,30,Health
S023,SKU_29,2023-10-16,30,30,Personal Care
S049,SKU_19,2024-05-02,30,30,Personal Care
S049,SKU_44,2023-07-10,32,32,Snack
S042,SKU_39,2023-07-26,33,26,Health
S035,SKU_50,2023-08-17,31,31,Dairy
S018,SKU_8,2023-07-14,29,21,Home Care
S017,SKU_24,2023-10-08,22,22,Grocery
S003,SKU_14,2023-07-12,30,30,Home Care
S032,SKU_5,2024-04-04,33,21,Dairy
S025,SKU_45,2023-10-03,31,25,Dairy
S009,SKU_7,2023-07-25,36,25,Dairy
S004,SKU_16,2023-07-17,32,19,Grocery
S014,SKU_7,2023-07-29,38,22,Dairy
S029,SKU_44,2024-04-20,24,23,Snack
S025,SKU_36,2024-02-08,35,27,Home Care
S034,SKU_7,2023-09-13,29,29,Dairy
S012,SKU_32,2023-10-10,30,24,Dairy
S042,SKU_48,2023-07-20,35,29,Dairy
S009,SKU_3,2023-10-25,33,24,Confectionery
S015,SKU_39,2023-12-21,27,26,Health
S040,SKU_29,2023-12-20,38,24,Personal Care
S025,SKU_24,2023-07-04,32,27,Grocery
S005,SKU_22,2024-06-04,36,29,Health
S034,SKU_48,2023-10-22,23,23,Dairy
S008,SKU_38,2023-10-26,28,28,Frozen
S005,SKU_10,2023-10-08,31,22,Bakery
S048,SKU_16,2024-03-30,27,27,Grocery
S026,SKU_11,2023-12-22,25,25,Home Care
S018,SKU_32,2023-12-06,27,15,Dairy
S006,SKU_45,2024-02-12,31,31,Dairy
S037,SKU_6,2023-08-07,34,27,Grocery
S013,SKU_33,2023-11-13,31,31,Grocery
S028,SKU_12,2023-10-12,26,19,Bev
S005,SKU_27,2024-01-09,32,32,Personal Care
S017,SKU_18,2023-07-13,35,20,Health
S050,SKU_45,2023-08-24,33,23,Dairy
S032,SKU_40,2023-10-17,33,17,Snack
S029,SKU_30,2023-08-12,29,25,Grocery
S003,SKU_49,2023-09-09,34,34,Home Care
S040,SKU_41,2024-03-24,26,26,Bev
S034,SKU_13,2023-08-28,22,15,Personal Care
S040,SKU_34,2023-08-13,31,25,Bev
S027,SKU_36,2024-03-28,33,23,Home Care
S013,SKU_30,2023-07-14,24,15,Grocery
S006,SKU_36,2024-02-13,27,27,Home Care
S024,SKU_18,2023-12-16,32,32,Health
S028,SKU_18,2024-06-01,37,27,Health
S048,SKU_21,2023-12-05,28,22,Home Care
S027,SKU_24,2024-03-09,28,22,Grocery
S007,SKU_14,2023-08-11,34,28,Home Care
S005,SKU_46,2024-03-05,27,25,Bev
S043,SKU_8,2024-03-04,37,29,Home Care
S031,SKU_19,2023-07-20,32,32,Personal Care
S042,SKU_46,2023-08-11,24,22,Bev
S032,SKU_30,2023-09-25,51,25,Grocery
S036,SKU_11,2023-12-14,29,19,Home Care
S014,SKU_21,2024-02-04,27,20,Home Care
S013,SKU_8,2023-11-10,32,22,Home Care
S012,SKU_28,2023-08-20,30,24,Snack
S039,SKU_29,2023-10-14,31,18,Personal Care
S002,SKU_23,2023-12-31,32,19,Grocery
S013,SKU_35,2023-07-11,31,16,Frozen
S017,SKU_5,2023-10-04,36,22,Dairy
S040,SKU_39,2023-10-14,29,29,Health
S031,SKU_11,2023-11-20,28,27,Home Care
S034,SKU_11,2023-12-13,27,27,Home Care
S045,SKU_42,2023-08-15,36,22,Personal Care
S048,SKU_31,2024-06-08,39,39,Grocery
S006,SKU_31,2024-04-03,27,25,Grocery
S019,SKU_13,2023-07-03,32,25,Personal Care
S030,SKU_14,2023-11-19,29,19,Home Care
S007,SKU_49,2023-08-30,40,33,Home Care
S010,SKU_45,2024-04-19,37,37,Dairy
S041,SKU_42,2024-02-10,24,24,Personal Care
S032,SKU_25,2024-04-27,23,19,Confectionery
S034,SKU_33,2023-12-17,31,31,Grocery
S015,SKU_15,2023-08-10,30,30,Grocery
S037,SKU_44,2024-02-11,28,22,Snack
S022,SKU_6,2023-10-18,32,25,Grocery
S020,SKU_25,2023-08-26,22,21,Confectionery
S032,SKU_15,2023-10-31,31,15,Grocery
S036,SKU_4,2024-02-25,43,21,Health
S050,SKU_4,2023-09-24,29,20,Health
S004,SKU_30,2023-12-23,30,25,Grocery
S027,SKU_34,2023-09-01,27,27,Bev
S017,SKU_27,2023-08-08,37,23,Personal Care
S012,SKU_31,2023-11-15,28,25,Grocery
S017,SKU_44,2024-02-11,33,33,Snack
S010,SKU_39,2024-01-22,36,30,Health
S001,SKU_9,2023-12-11,31,31,Confectionery
S022,SKU_41,2023-07-27,27,24,Bev
S018,SKU_14,2024-01-14,23,23,Home Care
S014,SKU_23,2023-10-15,32,27,Grocery
S047,SKU_21,2024-01-05,31,31,Home Care
S029,SKU_12,2023-08-05,25,25,Bev
S012,SKU_2,2023-09-23,27,27,Home Care
S035,SKU_4,2023-12-16,30,19,Health
S029,SKU_48,2023-08-04,34,26,Dairy
S011,SKU_14,2023-12-31,39,27,Home Care
S006,SKU_29,2024-02-22,40,26,Personal Care
S047,SKU_8,2023-10-30,36,16,Home Care
S015,SKU_12,2023-07-23,35,31,Bev
S032,SKU_41,2023-09-01,33,26,Bev
S023,SKU_26,2023-11-27,25,25,Home Care
S026,SKU_50,2024-01-11,32,25,Dairy
S046,SKU_40,2024-05-10,35,22,Snack
S029,SKU_6,2023-07-17,35,20,Grocery
S004,SKU_42,2023-08-08,39,28,Personal Care
S035,SKU_31,2024-06-12,34,27,Grocery
S013,SKU_17,2024-01-18,26,18,Home Care
S041,SKU_25,2024-04-05,37,17,Confectionery
S039,SKU_32,2023-09-26,33,20,Dairy
S015,SKU_12,2024-04-25,38,31,Bev
S011,SKU_19,2023-09-08,30,23,Personal Care
S032,SKU_44,2023-11-01,39,24,Snack
S002,SKU_48,2023-09-18,41,27,Dairy
S047,SKU_25,2023-08-14,36,22,Confectionery
S014,SKU_31,2024-02-18,31,23,Grocery
S020,SKU_37,2023-12-01,30,30,Personal Care
S022,SKU_25,2023-12-27,34,22,Confectionery
S011,SKU_16,2023-07-31,30,29,Grocery
S027,SKU_38,2023-09-23,20,19,Frozen
S003,SKU_43,2023-08-14,34,30,Frozen
S044,SKU_23,2024-05-27,36,22,Grocery
